[151]   validation_0-logloss:0.61192    validation_0-auc:0.74654        validation_1-logloss:0.61293    validation_1-auc:0.72004
[152]   validation_0-logloss:0.61166    validation_0-auc:0.74686        validation_1-logloss:0.61269    validation_1-auc:0.72026
[153]   validation_0-logloss:0.61145    validation_0-auc:0.74713        validation_1-logloss:0.61248    validation_1-auc:0.72044
[154]   validation_0-logloss:0.61130    validation_0-auc:0.74733        validation_1-logloss:0.61234    validation_1-auc:0.72052
[155]   validation_0-logloss:0.61111    validation_0-auc:0.74758        validation_1-logloss:0.61216    validation_1-auc:0.72066
[156]   validation_0-logloss:0.61099    validation_0-auc:0.74777        validation_1-logloss:0.61205    validation_1-auc:0.72066
[157]   validation_0-logloss:0.61058    validation_0-auc:0.74838        validation_1-logloss:0.61165    validation_1-auc:0.72105
[158]   validation_0-logloss:0.61045    validation_0-auc:0.74856        validation_1-logloss:0.61153    validation_1-auc:0.72103
[159]   validation_0-logloss:0.61037    validation_0-auc:0.74867        validation_1-logloss:0.61145    validation_1-auc:0.72110
[160]   validation_0-logloss:0.61020    validation_0-auc:0.74883        validation_1-logloss:0.61129    validation_1-auc:0.72120
[161]   validation_0-logloss:0.61010    validation_0-auc:0.74897        validation_1-logloss:0.61120    validation_1-auc:0.72125
[162]   validation_0-logloss:0.60990    validation_0-auc:0.74926        validation_1-logloss:0.61100    validation_1-auc:0.72130
[163]   validation_0-logloss:0.60974    validation_0-auc:0.74947        validation_1-logloss:0.61085    validation_1-auc:0.72132
[164]   validation_0-logloss:0.60963    validation_0-auc:0.74963        validation_1-logloss:0.61074    validation_1-auc:0.72129
[165]   validation_0-logloss:0.60944    validation_0-auc:0.74992        validation_1-logloss:0.61055    validation_1-auc:0.72142
[166]   validation_0-logloss:0.60921    validation_0-auc:0.75023        validation_1-logloss:0.61032    validation_1-auc:0.72164
[167]   validation_0-logloss:0.60913    validation_0-auc:0.75032        validation_1-logloss:0.61024    validation_1-auc:0.72164
